0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,28,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52
1,2.5,,2.1,3,2.5,2.7,,,,,3.4,2.7,2.9,2.8,,2.3,2.6,,,3.9,4,4.1,,,,3.9,4,3.9,3.8,,,3.9,,,4,,4.6,4.2,,3.3,,,,,,3.3,3.3,
2,3.2,3.1,3.1,3.2,3.2,3.8,3.6,3.5,4,4,5.3,4.4,2.4,4.3,4.5,4.4,5.3,5.1,5.4,4.9,4.6,4.7,4.3,4.2,4.5,4.5,5.1,4.9,5.2,5.3,4.8,4.7,4.6,4.4,4.5,3.8,4.8,5.8,4.8,4.5,5,4.9,4.8,4.9,5.1,5.2,5.9,3.3
3,0.6,0.6,,,0.2,,,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.7,3.5,1.2,0.6,0.5,,3.6,3.6,3.4,4.8,4.9,4.9,4.8,,3.3,2.8,4.4,4.4,5.3,5,4.4,3.4,3.7,5.8,4.5,3.4,3.5,3.5,3.3,3.2,3.8,4.5,3.6
4,5.8,6,6.1,5.8,5.7,5.3,5.5,6.5,7.7,8.3,9,7.9,7.9,6.4,7.4,9.1,9.3,12.7,8.7,7.3,7.9,7.7,6.7,4.3,3.3,5.1,5.8,5.2,4.4,2.9,6.1,5.4,4.5,5.4,3.5,5.4,6.3,5.1,4.1,4.2,4.3,4.2,3.3,3.6,3.5,3.6,0,3.2
5,4.5,3.8,3.6,3.2,4.5,4.5,4.5,4.3,4.5,4.4,4.3,4,5.9,7.6,7.4,6.8,6,5.9,5.6,5.4,5.3,5.8,9,8.1,9.8,7.8,7.5,7.2,8.2,6.8,7.6,6.4,9.1,10,9.6,8.1,9.4,8.1,8.2,7.2,6.6,7.1,6.9,7.7,6.7,4.1,5.2,2.7
6,4.6,4.3,3.4,4.1,3.9,3.9,3.8,4.7,4.5,4.5,4.5,4.6,4.7,5.8,5.9,5.1,5,4.7,4.8,6.3,4.4,5,5,4.8,5.6,5.2,5.6,5,5.2,5.2,5.4,5.3,6.7,5.8,4.8,5,5,4.9,5,5,4.8,5.1,4.6,4.3,4.2,4.5,4.7,4.2
7,4.7,,12.4,12.2,10.5,8.7,,,,,13.5,16.1,16.4,17.5,,14,16.1,,,13.9,14.5,13,,,,9.9,12.1,11.5,10.3,8.4,10,10.5,,,12.2,9.4,12.4,10.8,9.9,7.6,,,,8.8,,12.5,12.1,
8,3.4,4.6,4.6,4.4,4.7,4.7,4.6,4.7,4.9,5.6,4.8,3.7,4.2,4,4.1,4.3,4.8,5.9,6,7.1,7.5,7.4,7,7.7,7.8,7.7,9.5,7.8,7.3,7.1,6.5,6.1,6,5.9,7.7,6.6,7.4,6.6,6.2,6.5,6,5.1,4.9,5.1,4.8,5.3,4.9,4.3
9,,3,2.4,2.3,2.4,2.6,2.3,2.4,2.9,2.8,2.8,5.1,3.5,4.2,4.6,3.3,4,4.2,4.8,5.8,6.9,7.6,5.3,6.8,8.2,7.6,7.9,6.1,5.3,6.3,7.7,5.5,4.4,4.6,5.6,6.1,7,9,7,4.2,3.2,3,2.6,2.1,1.7,1.7,1.8,1.5
10,10.1,2.7,2.6,3.2,2.8,3.9,2.8,2.3,1.8,2.4,3,5.7,7.7,6.2,5.3,4.9,6.7,,5.8,5.3,4.6,5.2,5.8,5.5,4.9,6.3,4.8,4.6,6.6,5.9,4.7,3.7,5.1,5.3,5.9,6,5.2,4.6,4.7,2.6,1.8,1.6,2.6,3,3.4,3.7,3.5,3.2
11,,,,,,,,,,,,,,,,,,,5.1,,,5.4,4.7,,9.2,6.9,9.1,5.4,5.3,5.4,5.3,7.1,7.3,5.5,6.2,4.3,4.9,4.5,4.3,3.3,2.7,3.5,3.3,3.4,3.3,3.2,3.3,4.8
12,7.1,,,,,,,,,,,,,,,,,,8.1,8.1,11.2,10.1,9.6,8.2,9.8,2.2,8.9,9.6,9.3,8.8,8.3,7.9,9.2,9.4,9.3,7.3,7.9,7.6,,6.6,6.6,6.2,,,,,,
13,5.3,6.9,5.5,4.6,3,8,6.6,5.3,4,5,6.5,5.1,4,3.3,7.2,8.4,8.6,9,3.8,3.6,7.6,6,5.6,5.8,2.3,2.5,0.8,1.3,3.2,3.1,0.9,2.9,4,,8.2,7.4,3.9,2.8,3.4,6.1,4.9,,,,,,,1.1
14,6.7,5.6,5.7,6,5.8,5.8,5.4,5.5,5.4,5.4,5.4,4.2,4.1,5.9,5.4,5.5,5.1,5.3,5.9,5.2,5.5,5.7,5.8,7.1,5.7,5.4,5.4,5.2,5.4,5.4,5.4,5.3,5.3,5.4,6,5.4,5.3,5.3,5.3,5.6,5.4,5.3,5.3,4.9,6,5.3,5.3,5.4
15,6.3,7.1,9.1,9.6,8.5,7.5,7.2,8.5,8.4,6.1,5,4.4,5,5,5.7,6.3,6.5,6.2,6.4,7.8,7.7,7.7,9,9.2,9.5,9.5,9.7,9.8,9.9,9.6,9.8,9.9,9.6,7.4,6.1,6.3,7.3,6.2,6.9,6,10.4,10.2,10.8,9.4,,8.7,8.4,9.5
16,,5.3,5.4,5.8,6.2,6.2,6.1,5.8,6.3,6.3,6.6,6.4,6.1,6.2,6.1,5.2,5.4,6.1,,12.9,12.2,11.7,10.7,8.7,9.2,11,10.2,9.2,7.4,9.1,8.5,7.7,6.8,6.6,7.2,6.5,6.4,7.5,6.3,4.3,4.5,4.7,4.7,5.7,6.5,6.1,5.7,6.2
