0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,41,42,44,45,46
1,,12.3,,,11.9,11.7,,11.7,11.8,,11.9,,11.5,11.6,11.8,,11.5,11.2,,11.3,,,,,,9.95,,,,9.93,10,,
2,10.2,,,9.38,,8.64,8.48,,,,,,,,8.83,9.23,,,,,8.11,,8.03,,6.97,,,,7.67,7.68,,7.61,8.26
3,10.1,,8.72,8.56,8.77,7.82,6.82,7.16,7.86,7.46,8.55,8.34,8.87,8.88,9.02,8.22,5.02,3.46,4.66,5.38,,4.69,,,7.64,6.69,7.91,7.64,7.43,9.11,8.46,8.83,8.93
4,9.66,8.5,7.8,,7.75,7.81,,10.1,6.98,,8.13,7.07,7.06,7.02,6.66,6.34,6.51,6.25,5.23,4.94,5.98,,6.11,,5.3,5.25,,,8.16,9.1,10.8,10.3,
5,12.9,12.5,,,,,,,12.1,12.5,11.7,11.7,12,,13.3,14.6,,14.2,,,10.7,10.6,6.11,8.31,8.4,5.25,7.09,7.07,8.85,10.7,,11,7.93
6,9.59,,,,,7.39,,,6.74,7.55,8.1,9.19,11.2,11.9,12.6,12.4,14.6,10.6,12.6,14.5,,14,,9.98,12.9,12.5,,,9.12,9.05,,9.9,9.8
7,,,,,,3.39,,,,,,,,6.85,6.37,8.4,6.96,8.2,5.61,6.55,5.81,,,,,,,,7.23,8.12,11.1,11.1,9.42
8,11.3,,,,,10.4,,,10.3,10.2,10.7,10.6,10.5,10.7,,10.1,8.39,7.68,6.93,8.8,9.42,6.51,8.36,7.4,7.87,6.5,5.91,9.05,9.66,9.1,9.03,9.51,9.13
9,7.5,,,8.89,,7.43,8.08,,8.24,7.69,9.08,9.08,10.6,10.7,10.4,,10.7,10.2,9.35,9.21,8.01,7.44,7.56,8.09,,5.93,5.47,5.39,,,9.25,,
10,9.13,,,,,8.25,,,11.2,10.6,,,,9.46,,8.39,8.54,,7.46,8.05,7.85,3.73,5.15,7,6.45,,,,12.4,,,13.5,
11,10.6,,,,,10.7,,,,1.45,1.88,3.32,5.68,,11.2,,,9.52,,,9.42,9.67,8.94,,,5.68,5.72,6.07,,9.44,,,
12,7.16,,,,,5.67,,,7.89,8.68,,,,,,,,,,,,9.55,,,10.5,,,,,11.4,,,
13,7.22,8.68,8.52,8.64,8.61,8.46,8.3,8.48,8.7,,8.93,8.93,10.9,,10.9,11.6,,,,,11.4,,11.4,11.4,8.37,8.37,11.6,7.64,8.92,8.55,,7.71,10.8
14,9.49,,,,6.11,8.18,,5.14,5.28,5.73,6.16,6.96,8.06,8.8,9.45,9.98,9.07,7.32,10,8.92,,7.01,,7.12,6.9,6.53,,,9.63,11,9.68,9.15,3.43
15,7.38,11.4,,,,6.16,,10.7,,,10.4,10.2,10.5,9.34,,10.2,11.9,11.9,10.5,10.8,10.3,,10.2,9.67,9,8.48,8.14,8.1,12.3,12.8,12,9.51,
16,11.5,,,,,,,,123,8.34,8.42,8.39,8.93,9.21,10.4,,12.8,11.8,11.1,10.4,10.2,10.2,9.12,9.97,,6.98,5.65,5.46,,,,,
17,10.8,,7.36,5.83,,9.2,8.32,,,7.98,,,,,11.6,6.49,,7.27,,,,,,,,,0.47,3.38,5.11,,,7.5,6.8
