,Station,week,cod,do,nh3,ph,week_eval,lon,lat,Basin
0,1,1,2.5,11.0,0.38,7.15,2.0,126.51378400000002,44.312158000000004,SongHua River
1,1,2,,,,,,126.51378400000002,44.312158000000004,SongHua River
2,1,3,2.1,10.5,0.27,6.95,2.0,126.51378400000002,44.312158000000004,SongHua River
3,1,4,3.0,10.5,0.27,6.96,2.0,126.51378400000002,44.312158000000004,SongHua River
4,1,5,2.5,10.6,0.31,6.98,2.0,126.51378400000002,44.312158000000004,SongHua River
5,1,6,2.7,10.6,0.26,6.97,2.0,126.51378400000002,44.312158000000004,SongHua River
6,1,7,,,,,,126.51378400000002,44.312158000000004,SongHua River
7,1,8,,,,,,126.51378400000002,44.312158000000004,SongHua River
8,1,9,,,,,,126.51378400000002,44.312158000000004,SongHua River
9,1,10,,,,,,126.51378400000002,44.312158000000004,SongHua River
10,1,11,3.4,9.63,0.32,7.08,2.0,126.51378400000002,44.312158000000004,SongHua River
11,1,12,2.7,9.74,0.27,7.12,2.0,126.51378400000002,44.312158000000004,SongHua River
12,1,13,2.9,9.99,0.29,7.03,2.0,126.51378400000002,44.312158000000004,SongHua River
13,1,14,2.8,9.34,0.22,7.52,2.0,126.51378400000002,44.312158000000004,SongHua River
14,1,15,,,,,,126.51378400000002,44.312158000000004,SongHua River
15,1,16,2.3,8.9,0.18,7.3,2.0,126.51378400000002,44.312158000000004,SongHua River
16,1,17,2.6,9.72,0.25,7.36,2.0,126.51378400000002,44.312158000000004,SongHua River
17,1,18,,,,,,126.51378400000002,44.312158000000004,SongHua River
18,1,19,,,,,,126.51378400000002,44.312158000000004,SongHua River
19,1,20,3.9,10.4,0.32,7.6,2.0,126.51378400000002,44.312158000000004,SongHua River
20,1,21,4.0,9.96,0.29,7.62,2.0,126.51378400000002,44.312158000000004,SongHua River
21,1,22,4.1,10.1,0.2,7.68,3.0,126.51378400000002,44.312158000000004,SongHua River
22,1,23,,,,,,126.51378400000002,44.312158000000004,SongHua River
23,1,24,,,,,,126.51378400000002,44.312158000000004,SongHua River
24,1,25,,,,,,126.51378400000002,44.312158000000004,SongHua River
25,1,28,3.9,9.53,0.33,7.7,2.0,126.51378400000002,44.312158000000004,SongHua River
26,1,29,4.0,8.8,0.38,7.67,2.0,126.51378400000002,44.312158000000004,SongHua River
27,1,30,3.9,8.38,0.38,7.75,2.0,126.51378400000002,44.312158000000004,SongHua River
