,Station,week,cod,do,nh3,ph,quality,lon,lat,Basin
0,1,1,,,,,,126.51378400000002,44.312158000000004,SongHua River
1,1,2,3.3,12.3,0.38,7.38,2.0,126.51378400000002,44.312158000000004,SongHua River
2,1,3,,,,,,126.51378400000002,44.312158000000004,SongHua River
3,1,4,,,,,,126.51378400000002,44.312158000000004,SongHua River
4,1,5,3.5,11.9,0.54,7.26,3.0,126.51378400000002,44.312158000000004,SongHua River
5,1,6,3.5,11.7,0.62,7.26,3.0,126.51378400000002,44.312158000000004,SongHua River
6,1,7,,,,,,126.51378400000002,44.312158000000004,SongHua River
7,1,8,3.5,11.7,0.52,7.2,3.0,126.51378400000002,44.312158000000004,SongHua River
8,1,9,3.5,11.8,0.58,7.2,3.0,126.51378400000002,44.312158000000004,SongHua River
9,1,10,,,,,,126.51378400000002,44.312158000000004,SongHua River
10,1,11,3.9,11.9,0.58,7.24,3.0,126.51378400000002,44.312158000000004,SongHua River
11,1,12,,,,,,126.51378400000002,44.312158000000004,SongHua River
12,1,13,4.0,11.5,0.54,7.07,3.0,126.51378400000002,44.312158000000004,SongHua River
13,1,14,4.3,11.6,0.55,7.19,3.0,126.51378400000002,44.312158000000004,SongHua River
14,1,15,4.0,11.8,0.52,7.35,3.0,126.51378400000002,44.312158000000004,SongHua River
15,1,16,,,,,,126.51378400000002,44.312158000000004,SongHua River
16,1,17,3.7,11.5,0.48,7.3,2.0,126.51378400000002,44.312158000000004,SongHua River
17,1,18,3.5,11.2,0.44,7.36,2.0,126.51378400000002,44.312158000000004,SongHua River
18,1,19,,,,,,126.51378400000002,44.312158000000004,SongHua River
19,1,20,4.2,11.3,0.2,7.38,3.0,126.51378400000002,44.312158000000004,SongHua River
20,1,22,,,,,,126.51378400000002,44.312158000000004,SongHua River
21,1,23,,,,,,126.51378400000002,44.312158000000004,SongHua River
22,1,24,,,,,,126.51378400000002,44.312158000000004,SongHua River
23,1,25,,,,,,126.51378400000002,44.312158000000004,SongHua River
24,1,26,,,,,,126.51378400000002,44.312158000000004,SongHua River
25,1,27,3.5,9.95,0.13,7.53,2.0,126.51378400000002,44.312158000000004,SongHua River
26,1,28,,,,,,126.51378400000002,44.312158000000004,SongHua River
27,1,29,,,,,,126.51378400000002,44.312158000000004,SongHua River
28,1,41,,,,,,126.51378400000002,44.312158000000004,SongHua River
29,1,42,4.4,9.93,0.15,8.73,3.0,126.51378400000002,44.312158000000004,SongHua River
30,1,44,3.6,10.0,0.21,8.34,2.0,126.51378400000002,44.312158000000004,SongHua River
31,1,45,,,,,,126.51378400000002,44.312158000000004,SongHua River
32,1,46,,,,,,126.51378400000002,44.312158000000004,SongHua River
33,2,1,3.2,10.2,0.29,7.44,2.0,125.929624,44.765854,SongHua River
34,2,2,,,,,,125.929624,44.765854,SongHua River
35,2,3,,,,,,125.929624,44.765854,SongHua River
36,2,4,4.0,9.38,0.37,7.26,2.0,125.929624,44.765854,SongHua River
37,2,5,,,,,,125.929624,44.765854,SongHua River
38,2,6,3.9,8.64,0.5,7.17,2.0,125.929624,44.765854,SongHua River
39,2,7,4.8,8.48,0.52,7.2,3.0,125.929624,44.765854,SongHua River
40,2,8,,,,,,125.929624,44.765854,SongHua River
41,2,9,,,,,,125.929624,44.765854,SongHua River
42,2,10,,,,,,125.929624,44.765854,SongHua River
43,2,11,,,,,,125.929624,44.765854,SongHua River
44,2,12,,,,,,125.929624,44.765854,SongHua River
45,2,13,,,,,,125.929624,44.765854,SongHua River
46,2,14,,,,,,125.929624,44.765854,SongHua River
47,2,15,5.4,8.83,0.24,7.2,3.0,125.929624,44.765854,SongHua River
48,2,16,3.5,9.23,0.35,7.41,2.0,125.929624,44.765854,SongHua River
49,2,17,,,,,,125.929624,44.765854,SongHua River
50,2,18,,,,,,125.929624,44.765854,SongHua River
51,2,19,,,,,,125.929624,44.765854,SongHua River
52,2,20,,,,,,125.929624,44.765854,SongHua River
53,2,22,4.4,8.11,0.14,7.8,3.0,125.929624,44.765854,SongHua River
54,2,23,,,,,,125.929624,44.765854,SongHua River
55,2,24,4.3,8.03,0.15,7.4,3.0,125.929624,44.765854,SongHua River
56,2,25,,,,,,125.929624,44.765854,SongHua River
57,2,26,6.7,6.97,0.25,7.14,4.0,125.929624,44.765854,SongHua River
58,2,27,,,,,,125.929624,44.765854,SongHua River
59,2,28,,,,,,125.929624,44.765854,SongHua River
60,2,29,,,,,,125.929624,44.765854,SongHua River
61,2,41,6.7,7.67,0.07,6.68,4.0,125.929624,44.765854,SongHua River
62,2,42,6.7,7.68,0.07,6.64,4.0,125.929624,44.765854,SongHua River
63,2,44,,,,,,125.929624,44.765854,SongHua River
64,2,45,5.4,7.61,0.1,6.58,3.0,125.929624,44.765854,SongHua River
65,2,46,4.8,8.26,0.1,6.94,3.0,125.929624,44.765854,SongHua River
66,3,1,3.3,10.1,0.52,7.55,3.0,124.747198,45.373155,SongHua River
67,3,2,,,,,,124.747198,45.373155,SongHua River
68,3,3,3.0,8.72,0.41,7.39,2.0,124.747198,45.373155,SongHua River
69,3,4,3.4,8.56,0.43,7.36,2.0,124.747198,45.373155,SongHua River
70,3,5,4.9,8.77,0.62,7.37,3.0,124.747198,45.373155,SongHua River
71,3,6,5.0,7.82,0.72,7.37,3.0,124.747198,45.373155,SongHua River
72,3,7,5.5,6.82,0.88,7.38,3.0,124.747198,45.373155,SongHua River
73,3,8,6.2,7.16,0.82,7.45,4.0,124.747198,45.373155,SongHua River
74,3,9,8.0,7.86,0.91,7.42,4.0,124.747198,45.373155,SongHua River
75,3,10,6.5,7.46,0.99,7.46,4.0,124.747198,45.373155,SongHua River
76,3,11,6.1,8.55,0.98,7.57,4.0,124.747198,45.373155,SongHua River
77,3,12,5.5,8.34,0.95,7.69,3.0,124.747198,45.373155,SongHua River
78,3,13,5.3,8.87,0.95,7.78,3.0,124.747198,45.373155,SongHua River
79,3,14,5.4,8.88,0.92,7.83,3.0,124.747198,45.373155,SongHua River
80,3,15,4.9,9.02,0.66,8.02,3.0,124.747198,45.373155,SongHua River
81,3,16,4.7,8.22,0.33,8.53,3.0,124.747198,45.373155,SongHua River
82,3,17,4.7,5.02,0.42,8.07,3.0,124.747198,45.373155,SongHua River
83,3,18,4.7,3.46,0.4,8.35,4.0,124.747198,45.373155,SongHua River
84,3,19,4.7,4.66,0.24,8.57,4.0,124.747198,45.373155,SongHua River
85,3,20,4.8,5.38,0.24,8.49,3.0,124.747198,45.373155,SongHua River
86,3,22,,,,,,124.747198,45.373155,SongHua River
87,3,23,,4.69,0.68,7.54,4.0,124.747198,45.373155,SongHua River
88,3,24,,,,,,124.747198,45.373155,SongHua River
89,3,25,,,,,,124.747198,45.373155,SongHua River
90,3,26,4.8,7.64,0.09,7.92,3.0,124.747198,45.373155,SongHua River
91,3,27,,6.69,0.16,7.82,2.0,124.747198,45.373155,SongHua River
92,3,28,,7.91,0.15,7.98,1.0,124.747198,45.373155,SongHua River
93,3,29,,7.64,0.33,7.98,2.0,124.747198,45.373155,SongHua River
94,3,41,2.8,7.43,0.61,8.47,3.0,124.747198,45.373155,SongHua River
95,3,42,3.2,9.11,0.66,8.83,3.0,124.747198,45.373155,SongHua River
96,3,44,2.6,8.46,0.66,8.59,3.0,124.747198,45.373155,SongHua River
97,3,45,4.4,8.83,0.72,8.76,3.0,124.747198,45.373155,SongHua River
98,3,46,3.8,8.93,0.71,8.74,3.0,124.747198,45.373155,SongHua River
99,4,1,3.2,9.66,0.45,7.16,2.0,125.081698,45.525163,SongHua River
100,4,2,3.0,8.5,0.37,7.09,2.0,125.081698,45.525163,SongHua River
101,4,3,4.2,7.8,0.49,7.06,3.0,125.081698,45.525163,SongHua River
102,4,4,,,,,,125.081698,45.525163,SongHua River
103,4,5,4.7,7.75,0.68,7.18,3.0,125.081698,45.525163,SongHua River
104,4,6,4.7,7.81,0.59,7.19,3.0,125.081698,45.525163,SongHua River
105,4,7,,,,,,125.081698,45.525163,SongHua River
106,4,8,5.7,10.1,0.5,7.24,3.0,125.081698,45.525163,SongHua River
107,4,9,4.5,6.98,0.85,7.0,3.0,125.081698,45.525163,SongHua River
108,4,10,,,,,,125.081698,45.525163,SongHua River
109,4,11,5.4,8.13,0.4,7.06,3.0,125.081698,45.525163,SongHua River
110,4,12,4.0,7.07,0.57,7.06,3.0,125.081698,45.525163,SongHua River
111,4,13,3.8,7.06,0.66,7.08,3.0,125.081698,45.525163,SongHua River
112,4,14,4.7,7.02,0.38,7.17,3.0,125.081698,45.525163,SongHua River
113,4,15,4.8,6.66,0.33,7.2,3.0,125.081698,45.525163,SongHua River
114,4,16,5.2,6.34,0.17,7.51,3.0,125.081698,45.525163,SongHua River
115,4,17,4.9,6.51,0.16,7.45,3.0,125.081698,45.525163,SongHua River
116,4,18,5.4,6.25,0.33,8.06,3.0,125.081698,45.525163,SongHua River
117,4,19,6.8,5.23,0.26,7.83,4.0,125.081698,45.525163,SongHua River
118,4,20,4.0,4.94,0.19,7.54,4.0,125.081698,45.525163,SongHua River
119,4,22,3.9,5.98,0.22,7.68,3.0,125.081698,45.525163,SongHua River
120,4,23,,,,,,125.081698,45.525163,SongHua River
121,4,24,3.3,6.11,0.41,7.6,2.0,125.081698,45.525163,SongHua River
